sample_id,customer_label,Ct,gene_copies_per_ul,genome_copies_per_ul*,DNA_ng_per_ul*
zr26507_1V3V4,MDBC01,27.28,11570,2893,0.01471193
zr26507_2V3V4,MDBC03,25.83,31380,7845,0.0398946
zr26507_3V3V4,MDBC04,26.58,18729,4682,0.02380963
zr26507_4V3V4,MDBC05,27.65,8969,2242,0.01140136
zr26507_5V3V4,MDBC06,26.19,24495,6124,0.03114271
zr26507_6V3V4,MDBC09,26.38,21493,5373,0.02732361
zr26507_7V3V4,MDBC11,26.88,15236,3809,0.01937011
zr26507_8V3V4,MDBC18,25.15,50104,12526,0.06369914
zr26507_9V3V4,MDBC21,24.12,101785,25446,0.12940191
zr26507_10V3V4,MDBC28,25.56,37787,9447,0.04804134
zr26507_11V3V4,MDBC29,28.12,6491,1623,0.00825353
zr26507_12V3V4,MDBC30,30.21,1541,385,0.00195786
zr26507_13V3V4,MDBC32,26.39,21345,5336,0.02713545
zr26507_14V3V4,MDBC33,25.72,33848,8462,0.04303226
zr26507_15V3V4,MDBC34,24.64,71168,17792,0.09047861
zr26507_16V3V4,MDBC35,25.64,35763,8941,0.04546815
zr26507_17V3V4,MDBC36,22.63,283768,70942,0.36076516
zr26507_18V3V4,MDBC37,26.11,25881,6470,0.03290224
zr26507_19V3V4,MDBC38,24.46,80552,20138,0.10240885
zr26507_20V3V4,MDBC40,27.28,11570,2893,0.01471193
zr26507_21V3V4,MDBC42,25,55552,13888,0.07062539
zr26507_22V3V4,MDBC44,22.26,588603,147151,0.74831488
zr26507_23V3V4,MDBC45,26.58,18729,4682,0.02380963
zr26507_24V3V4,MDBC46,26.36,21791,5448,0.02770501
zr26507_25V3V4,NTC1,33.71,139,35,0.00017799
zr26507_26V3V4,NTC2,31.8,516,129,0.00065601
