OTU	Domain	Phylum	Class	Order	Family	Genus	MDBC01_rep	MDBC03_rep	MDBC04_rep	MDBC05_rep	MDBC06_rep	MDBC09_rep	MDBC11_rep	MDBC18_rep	MDBC21_rep	MDBC28_rep	MDBC29_rep	MDBC30_rep	MDBC32_rep	MDBC33_rep	MDBC34_rep	MDBC35_rep	MDBC36_rep	MDBC37_rep	MDBC38_rep	MDBC42_rep	MDBC44_rep	MDBC45_rep	MDBC46_rep
1	Bacteria	(Bacteria)	(Bacteria)	(Bacteria)	(Bacteria)	(Bacteria)	5556	1467	980	1991	2598	2478	1543	1074	4987	1309	3940	1547	1376	2652	1504	3617	1893	5526	883	2447	4029	6085	3254
2	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	8	0	2	0	0	0	0	3
3	Bacteria	Acetothermia	Acetothermiia	(Acetothermiia)	(Acetothermiia)	(Acetothermiia)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
4	Bacteria	Acetothermia	Acetothermiia	uncultured bacterium	(uncultured bacterium)	(uncultured bacterium)	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
5	Bacteria	Acidobacteriota	(Acidobacteriota)	(Acidobacteriota)	(Acidobacteriota)	(Acidobacteriota)	32	3	2	5	0	19	6	2	4	4	0	0	21	8	11	26	1	24	8	15	14	56	47
6	Bacteria	Acidobacteriota	Acidobacteriae	(Acidobacteriae)	(Acidobacteriae)	(Acidobacteriae)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
7	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	uncultured	uncultured bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
8	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	0	1	0	1	0	0	0	1	0	1	1	3	0	0	0	0	0	2	0	0	0	0	0
9	Bacteria	Acidobacteriota	Acidobacteriae	PAUC26f	(PAUC26f)	(PAUC26f)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
10	Bacteria	Acidobacteriota	Acidobacteriae	PAUC26f	uncultured bacterium	(uncultured bacterium)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
11	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 13	uncultured bacterium	(uncultured bacterium)	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	(Aminicenantales)	(Aminicenantales)	2	0	0	0	0	0	0	1	10	1	1	0	0	2	0	0	0	0	0	1	16	0	2
13	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	metagenome	(metagenome)	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	uncultured Aminicenantes bacterium	(uncultured Aminicenantes bacterium)	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	uncultured bacterium	(uncultured bacterium)	78	10	4	23	5	20	12	4	8	3	0	0	5	0	0	0	0	0	0	0	15	0	1
16	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	uncultured delta proteobacterium	(uncultured delta proteobacterium)	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	5	0	1	1	0	53	7	4
17	Bacteria	Acidobacteriota	AT-s3-28	(AT-s3-28)	(AT-s3-28)	(AT-s3-28)	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	1
18	Bacteria	Acidobacteriota	AT-s3-28	uncultured actinobacterium	(uncultured actinobacterium)	(uncultured actinobacterium)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
