Sample	Bacteria	Eukaryota	Viruses	Archaea	Unclassified	Unclassified_adj
MDBC01	3.67	3.17	0.02	0.05	92.95	93.09
MDBC03	3.25	2.61	0.02	0.05	93.96	94.07
MDBC04	5.1	3.06	0.02	0.05	91.64	91.77
MDBC05	2.4	3.24	0.02	0.03	94.2	94.31
MDBC06	3.35	3.85	0.02	0.04	92.65	92.74
MDBC09	5.32	3.46	0.02	0.05	90.98	91.15
MDBC11	3.07	3.24	0.02	0.03	93.49	93.64
MDBC18	2.99	4.22	0.02	0.04	92.59	92.73
MDBC21	7.63	4.8	0.01	0.04	87.43	87.52
MDBC28	5.31	4.52	0.02	0.09	89.9	90.06
MDBC29	2.12	5.83	0.01	0.04	91.9	92
MDBC30	6.35	10.37	0.02	0.07	83.05	83.19
MDBC32	7.25	5.02	0.03	0.07	87.32	87.63
MDBC33	4.37	3.23	0.02	0.04	92.23	92.34
MDBC34	9.39	0	0.02	0	87.2	90.59
MDBC35	14.1	2.78	0.01	0.04	82.71	83.07
MDBC36	4.35	3.09	0.02	0.04	92.33	92.5
MDBC37	5.84	2.43	0.02	0.04	91.43	91.67
MDBC38	3.17	2.33	0.02	0.04	94.3	94.44
MDBC40	14.52	48.07	0.01	0.01	26.52	37.39
MDBC42	6.44	2.21	0.02	0.03	91.15	91.3
MDBC44	9.99	2.45	0.02	0.04	87.38	87.5
MDBC45	8.07	2.31	0.02	0.03	89.35	89.57
MDBC46	5.92	0	0.02	0	91.11	94.06
	5.99875	5.262083333	0.01875	0.04	87.82375	88.68041667
	3.331503529	9.333113549	0.004484272	0.02	13.44085557	11.36878277
