Gen,Total Reads,Length,Reads,Bases,RPKM,Coverage,TPM,Sample,Taxon,percent_total,ratio
PlaceSamplesHere_260109_1-1024,46871972,1024,37689,5222611,785.238,5100.206,511.684,MDBC01,BD1-7,0.000804084,0.090921811
PlaceSamplesHere_260109_1-1024,32288042,1024,21716,3047696,656.808,2976.266,430.814,MDBC03,BD1-7,0.000672571,0.074829862
PlaceSamplesHere_260109_1-1024,32553458,1024,74698,10526365,2240.845,10279.653,1453.037,MDBC04,BD1-7,0.002294626,0.330270767
PlaceSamplesHere_260109_1-1024,59391228,1024,26229,3633860,431.28,3548.691,285.88,MDBC05,BD1-7,0.000441631,0.059863607
PlaceSamplesHere_260109_1-1024,57680744,1024,36410,5060087,616.439,4941.491,406.445,MDBC06,BD1-7,0.000631233,0.080318007
PlaceSamplesHere_260109_1-1024,32114938,1024,54205,7573601,1648.285,7396.095,1048.926,MDBC09,BD1-7,0.001687844,0.112778592
PlaceSamplesHere_260109_1-1024,60583818,1024,57225,8071943,922.421,7882.757,605.324,MDBC11,BD1-7,0.000944559,0.104612072
PlaceSamplesHere_260109_1-1024,60710590,1024,275645,39187751,4433.898,38269.288,3051.583,MDBC21,BD1-7,0.004540312,0.455433161
PlaceSamplesHere_260109_1-1024,18873530,1024,40569,5609114,2099.139,5477.65,1334.682,MDBC28,BD1-7,0.002149518,0.383286882
PlaceSamplesHere_260109_1-1024,59623092,1024,6124,796683,100.305,778.011,65.62,MDBC29,BD1-7,0.000102712,0.01267796
PlaceSamplesHere_260109_1-1024,66228610,1024,284011,39709678,4187.835,38778.982,2398.509,MDBC30,BD1-7,0.004288343,1.068136175
PlaceSamplesHere_260109_1-1024,33168528,1024,98150,13509865,2889.776,13193.228,1797.609,MDBC32,BD1-7,0.00295913,0.30527442
PlaceSamplesHere_260109_1-1024,62633462,1024,58384,7865288,910.306,7680.945,585.542,MDBC33,BD1-7,0.000932153,0.061001769
PlaceSamplesHere_260109_1-1024,38733132,1024,268955,35299189,6781.052,34471.864,4311.133,MDBC34,BD1-7,0.006943797,0.55589659
PlaceSamplesHere_260109_1-1024,57177654,1024,571624,78477787,9763.02,76638.464,6203.158,MDBC35,BD1-7,0.009997332,1.044806346
PlaceSamplesHere_260109_1-1024,60543414,1024,64951,8659662,1047.657,8456.701,684.819,MDBC36,BD1-7,0.0010728,0.329774163
PlaceSamplesHere_260109_1-1024,60844368,1024,143205,19574016,2298.465,19115.25,1488.354,MDBC37,BD1-7,0.002353628,0.173868227
PlaceSamplesHere_260109_1-1024,63119396,1024,52797,7459610,816.858,7284.775,527.568,MDBC38,BD1-7,0.000836462,0.072104492
PlaceSamplesHere_260109_1-1024,60255290,1024,122018,17899630,3955.112,17480.107,2436.089,MDBC42,BD1-7,0.002025017,0.250340577
