ID	Description	percent_cnidarian	group
ko00565	Ether lipid metabolism	0.727272727	all
ko00590	Arachidonic acid metabolism	0.333333333	all
ko01040	Biosynthesis of unsaturated fatty acids	0.739413681	all
ko01212	Fatty acid metabolism	0.786363636	all
ko01521	EGFR tyrosine kinase inhibitor resistance	0.372881356	human
ko01522	Endocrine resistance	0.45	human
ko01523	Antifolate resistance	0.615384615	human
ko01524	Platinum drug resistance	0.595744681	human
ko03320	PPAR signaling pathway	0.365384615	all
ko04010	MAPK signaling pathway	0.558333333	all
ko04014	Ras signaling pathway	0.613636364	all
ko04015	Rap1 signaling pathway	0.580246914	all
ko04020	Calcium signaling pathway	0.625	all
ko04022	cGMP-PKG signaling pathway	0.538461538	all
ko04071	Sphingolipid signaling pathway	0.671875	all
ko04072	Phospholipase D signaling pathway	0.642857143	all
ko04082	Neuroactive ligand signaling	0.7	all
ko04114	Oocyte meiosis	0.652777778	all
ko04115	p53 signaling pathway	0.5	all
ko04141	Protein processing in endoplasmic reticulum	0.769230769	all
ko04144	Endocytosis	0.766666667	all
ko04145	Phagosome	0.472972973	all
ko04148	Efferocytosis	0.451923077	all
ko04151	PI3K-Akt signaling pathway	0.622222222	all
ko04218	Cellular senescence	0.628865979	all
ko04270	Vascular smooth muscle contraction	0.555555556	all
ko04310	Wnt signaling pathway	0.655913978	all
ko04360	Axon guidance	0.561151079	all
ko04361	Axon regeneration	0.571428571	all
ko04370	VEGF signaling pathway	0.535714286	all
ko04510	Focal adhesion	0.693548387	all
ko04517	IgSF CAM signaling	0.403846154	all
ko04519	Cadherin signaling	0.577380952	all
ko04610	 Complement and coagulation cascades	0.054054054	all
ko04611	Platelet activation	0.414285714	all
ko04613	Neutrophil extracellular trap formation	0.32183908	all
ko04621	NOD-like receptor signaling pathway	0.293103448	all
ko04664	Fc epsilon RI signaling pathway	0.404761905	all
ko04666	Fc gamma R-mediated phagocytosis	0.595744681	all
ko04668	TNF signaling pathway	0.377358491	all
ko04670	Leukocyte transendothelial migration	0.46835443	all
ko04722	Neurotrophin signaling pathway	0.61038961	all
ko04724	Glutamatergic synapse	0.64	all
ko04726	Serotonergic synapse	0.595744681	all
ko04740	Olfactory transduction	0.6	all
ko04742	Taste Transduction	0.264705882	all
ko04745	Phototransduction - fly	0.545454545	all
ko04750	Inflammatory mediator regulation of TRP channels	0.510204082	all
ko04810	Regulation of actin cytoskeleton	0.625	all
ko04820	Cytoskeleton in muscle cells	0.361111111	all
ko04912	GnRH signaling pathway	0.609756098	all
ko04914	Progesterone-mediated oocyte maturation	0.736842105	all
