Sample_ID	Alt_ID	year	sample_type	location	Latitude	Longitude	Depth	Temp	rawReads	Read_ID	DNA_conc
MDBC01_rep	A	0	sample	Diaphus Bank	28.08708	-90.70333	87.5	21.2	47306390	zr26507_1V3V4	88.6
MDBC03_rep	C	0	sample	Diaphus Bank	28.08764	-90.70359	83.5	21.3	32645766	zr26507_2V3V4	55.3
MDBC04_rep	D	0	sample	Diaphus Bank	28.08838	-90.7033	82.2	21.3	32849098	zr26507_3V3V4	4.1
MDBC05_rep	E	0	sample	Diaphus Bank	28.0851	-90.69692	98.1	20.8	59816918	zr26507_4V3V4	16.9
MDBC06_rep	F	0	sample	Diaphus Bank	28.08677	-90.69942	90.5	21.5	58535354	zr26507_5V3V4	133.3
MDBC09_rep	I	0	sample	Ewing Bank	28.08549	-90.97255	83.9	21.4	32824888	zr26507_6V3V4	307.6
MDBC11_rep	K	0	sample	Ewing Bank	28.08356	-90.97307	84.9	21.5	61377194	zr26507_7V3V4	34.4
MDBC18_rep	R	0	sample	Ewing Bank	28.08106	-90.9759	85.1	22.1	33698492	zr26507_8V3V4	100
MDBC21_rep	U	0	sample	Ewing Bank	28.079429	-90.97929	83.4	21.5	61139756	zr26507_9V3V4	15.6
MDBC28_rep	AB	0	sample	Ewing Bank	28.07903	-90.98013	84.1	21.4	19062518	zr26507_10V3V4	104.4
MDBC29_rep	AC	0	sample	Adeline Bank	27.93046	-91.48775	87.3	21.5	59744442	zr26507_11V3V4	279.9
MDBC30_rep	AD	0	sample	Adeline Bank	27.92995	-91.48852	86.2	21.2	66695382	zr26507_12V3V4	29.1
MDBC32_rep	A	1	sample	Diaphus Bank	28.08708	-90.70333	87.5	21.2	33281138	zr26507_13V3V4	79.1
MDBC33_rep	C	1	sample	Diaphus Bank	28.08764	-90.70359	83.5	21.3	62884666	zr26507_14V3V4	156.5
MDBC34_rep	D	1	sample	Diaphus Bank	28.08838	-90.7033	82.2	21.3	38893956	zr26507_15V3V4	76.6
MDBC35_rep	E	1	sample	Diaphus Bank	28.0851	-90.69692	98.1	20.8	57290894	zr26507_16V3V4	72.8
MDBC36_rep	F	1	sample	Diaphus Bank	28.08677	-90.69942	90.5	21.5	60906782	zr26507_17V3V4	9.8
MDBC37_rep	I	1	sample	Ewing Bank	28.08549	-90.97255	83.9	21.4	61191254	zr26507_18V3V4	151.7
MDBC38_rep	K	1	sample	Ewing Bank	28.08356	-90.97307	84.9	21.5	63438188	zr26507_19V3V4	171.3
MDBC40_rep	R	1	sample	Ewing Bank	28.08106	-90.9759	85.1	22.1	60178854	zr26507_20V3V4	139
MDBC42_rep	U	1	sample	Ewing Bank	28.079429	-90.97929	83.4	21.5	60612076	zr26507_21V3V4	64.4
MDBC44_rep	AB	1	sample	Ewing Bank	28.07903	-90.98013	84.1	21.4	62069726	zr26507_22V3V4	49.2
MDBC45_rep	AC	1	sample	Adeline Bank	27.93046	-91.48775	87.3	21.5	62489700	zr26507_23V3V4	30.6
MDBC46_rep	AD	1	sample	Adeline Bank	27.92995	-91.48852	86.2	21.2	33077048	zr26507_24V3V4	36.6
NTC1	N1	N	negC	NA	NA	NA	NA	NA	NA	zr26507_25V3V4	1.2
NTC2	N2	N	negC	NA	NA	NA	NA	NA	NA	zr26507_26V3V4	0.1
Tank	T1	N	negC	NA	NA	NA	NA	NA	NA	GNV-carboy_S15_L001	NA
