rowname	logFC	AveExpr	t	P.Value	adj.P.Val	z.std	Gene name	KEGG ID	KEGGFUN	KEGGPATH	COG ID	COGFUN	COGPATH	PFAM	superkingdom	phylum	class	order	family	genus	species	direction
1	PlaceSamplesHere_469638_2-307	7.50382995688983	13.0067133690746	11.5374192102416	2.51659232055117e-07	0.000723771951390515	5.15646221852711									Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Unclassified Enterobacterales	Unclassified Enterobacterales	Unclassified Enterobacterales	captive
2	PlaceSamplesHere_553253_2-157	6.66125591602523	6.4152416648698	8.8119811603359	3.04043363920596e-06	0.00302331236157658	4.66806929394573									Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas sp.	captive
3	PlaceSamplesHere_565547_20141-21406	-2.77580371270015	6.07147831565826	-6.5004901192063	3.15366379858475e-06	0.00302331236157658	-4.66054944985255	cycB, ganO	K15770	arabinogalactan oligomer / maltooligosaccharide transport system substrate-binding protein	Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	COG2182	Maltose-binding periplasmic proteins/domains	Carbohydrate transport and metabolism	PF01547 [Bacterial extracellular solute-binding protein];PF13416 [Bacterial extracellular solute-binding protein]	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Unclassified Propionibacteriaceae	Unclassified Propionibacteriaceae	wild
4	PlaceSamplesHere_553252_2-199	6.41856863231711	5.76729881500382	7.94513536628052	8.01640609003749e-06	0.00472791320514892	4.46474529139504									Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas sp.	captive
5	PlaceSamplesHere_32176_2-205	6.37901202397233	6.50265622792885	7.99201626384284	8.219598757213e-06	0.00472791320514892	4.45938284313309					ENOG410ZPWP		Function unknown		Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Unclassified Vibrionaceae	Unclassified Vibrionaceae	captive
6	PlaceSamplesHere_365245_18574-19218	-2.77144297352003	5.65262003986885	-6.0338518525892	1.02307905718632e-05	0.00490395894744641	-4.41223727008453									Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes	wild
7	PlaceSamplesHere_45883_1-606	4.69870622795931	4.47717665868306	7.42675283886154	1.6441800001652e-05	0.00605974143849562	4.30842932132301	tuf, TUFM	K02358	elongation factor Tu	Brite Hierarchies; Protein families: genetic information processing; Translation factors | Brite Hierarchies; Protein families: genetic information processing; Mitochondrial biogenesis | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome	COG0050	GTPases - translation elongation factors	Translation, ribosomal structure and biogenesis	PF03143 [Elongation factor Tu C-terminal domain];PF03144 [Elongation factor Tu domain 2]	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unclassified Vibrio	captive
8	PlaceSamplesHere_111674_318-440	3.26814925143717	8.93789127960563	5.66799142338301	1.82919107227896e-05	0.00605974143849562	4.2847812123373					ENOG41129MV		Function unknown		Bacteria	Pseudomonadota	Unclassified Pseudomonadota	Unclassified Pseudomonadota	Unclassified Pseudomonadota	Unclassified Pseudomonadota	Unclassified Pseudomonadota	captive
9	PlaceSamplesHere_385600_597-791	3.73921041960341	3.9049059808901	7.07798504461935	2.04320239175158e-05	0.00605974143849562	4.26011665115227	RP-S9, MRPS9, rpsI	K02996	small subunit ribosomal protein S9	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG0103	Ribosomal protein S9	Translation, ribosomal structure and biogenesis	PF00380 [Ribosomal protein S9/S16]	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unclassified Vibrio	captive
10	PlaceSamplesHere_536763_152-277	4.69308528487889	5.19164765664587	7.16045622456169	2.22872093579293e-05	0.00605974143849562	4.24065135089978									Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Unclassified Vibrio	captive
