rowname	logFC	AveExpr	t	P.Value	adj.P.Val	B	z.std	Gene.name	Tax	KEGG.ID	KEGGFUN	KEGGPATH	COG.ID	COGFUN	COGPATH	PFAM	direction
1	mycoplasma_expression_v2_3_27288-28298	3.6921804077751	9.53456025320379	18.29656822828	7.76314142195572e-08	1.83210137558155e-05	15.3315856728633	5.37254879105333	OTC, argF, argI	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota;c_Mollicutes;o_Mycoplasmatales	K00611	ornithine carbamoyltransferase [EC:2.1.3.3]	Metabolism; Amino acid metabolism; Arginine biosynthesis	COG0078	Ornithine carbamoyltransferase	Amino acid transport and metabolism	PF00185 [Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain];PF02729 [Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain]	captive
2	mycoplasma_expression_v2_2_27287-28813	2.99880289626258	10.0278930577931	7.52625798091837	5.3961359101943e-05	0.00636744037402927	4.80545657306416	4.03777157146904	PTS-Ula-EIIC, ulaA, sgaT	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota;c_Mollicutes;o_Mycoplasmatales;f_Mycoplasmataceae;g_Mesomycoplasma	K03475	PTS system, ascorbate-specific IIC component	Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism | Environmental Information Processing; Membrane transport; Phosphotransferase system (PTS) | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	COG3037	Uncharacterized protein conserved in bacteria	Function unknown	PF03611 [PTS system sugar-specific permease component]	captive
3	mycoplasma_expression_v2_3_28333-29541	3.18697892934456	10.6535858951423	4.38404513082295	0.000694840260895162	0.0312713792087949	-0.140674803343388	3.39160700098966	arcA	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota;c_Mollicutes;o_Mycoplasmatales	K01478	arginine deiminase [EC:3.5.3.6]	Metabolism; Amino acid metabolism; Arginine biosynthesis	COG2235	Arginine deiminase	Amino acid transport and metabolism	PF02274 [Amidinotransferase];PF19420 []	captive
4	mycoplasma_expression_v2_5_28397-28930	2.54566044279587	7.50911815708649	5.05025232269223	0.00077856831848777	0.0312713792087949	0.521708509140107	3.36030371557055										captive
5	mycoplasma_expression_v2_3_24680-25636	2.41159397210769	11.1543852743539	4.30742898369782	0.000802245951371981	0.0312713792087949	-0.278017709942694	3.35201871587428	arcC	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota;c_Mollicutes;o_Mycoplasmatales	K00926	carbamate kinase [EC:2.7.2.2]	Metabolism; Energy metabolism; Nitrogen metabolism | Metabolism; Nucleotide metabolism; Purine metabolism | Metabolism; Amino acid metabolism; Arginine biosynthesis	COG0549	Carbamate kinase	Amino acid transport and metabolism	PF00696 [Amino acid kinase family]	captive
6	mycoplasma_expression_v2_2_27002-27274	3.01435704298878	7.78852491260753	4.71338059635358	0.000908350921891589	0.0312713792087949	0.350519757952537	3.31747485269356	PTS-Ula-EIIB, ulaB, sgaB	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota;c_Mollicutes;o_Mycoplasmatales;f_Mycoplasmataceae	K02822	PTS system, ascorbate-specific IIB component [EC:2.7.1.194]	Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism | Environmental Information Processing; Membrane transport; Phosphotransferase system (PTS) | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	COG3414	Phosphotransferase system, galactitol-specific IIB component	Carbohydrate transport and metabolism	PF02302 [PTS system, Lactose/Cellobiose specific IIB subunit]	captive
7	mycoplasma_expression_v2_5_6023-6295	2.28287549751685	10.8104958297263	4.85883776941873	0.000993154757043872	0.0312713792087949	0.531735146958829	3.29245872172601	hupB	k_Bacteria	K03530	DNA-binding protein HU-beta	Brite Hierarchies; Protein families: genetic information processing; DNA replication proteins | Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	COG0776	Bacterial nucleoid DNA-binding protein	DNA replication, recombination and repair	PF00216 [Bacterial DNA-binding protein]	captive
8	mycoplasma_expression_v2_3_3714-4151	-3.42715018636221	6.33558337430777	-4.49641019578224	0.00111237979085232	0.0312713792087949	-0.0747714240483521	-3.26044387721706	rimP	k_Bacteria	K09748	ribosome maturation factor RimP	Brite Hierarchies; Protein families: genetic information processing; Ribosome biogenesis	COG0779	Uncharacterized protein conserved in bacteria	Function unknown		wild
9	mycoplasma_expression_v2_2_12602-13093	2.23618108052954	8.33320472758907	4.67091334560417	0.00119255259694557	0.0312713792087949	0.220893433603532	3.24065537987622	PTS-Ula-EIIA, ulaC, sgaA	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota;c_Mollicutes	K02821	PTS system, ascorbate-specific IIA component [EC:2.7.1.194]	Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism | Environmental Information Processing; Membrane transport; Phosphotransferase system (PTS) | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	ENOG4111Q8R	pts system	Carbohydrate transport and metabolism	PF00359 [Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2]	captive
10	mycoplasma_expression_v2_4_5037-5375	2.29909989318834	6.9140889714934	4.49089556958482	0.00150704316164838	0.0327575867027828	-0.515432936690087	3.17332385713159	RP-L22, MRPL22, rplV	k_Bacteria;n_Terrabacteria group;p_Mycoplasmatota;c_Mollicutes;o_Mycoplasmatales;f_Mycoplasmataceae	K02890	large subunit ribosomal protein L22	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG0091	Ribosomal protein L22	Translation, ribosomal structure and biogenesis	PF00237 [Ribosomal protein L22p/L17e]	captive
