Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
marine gamma proteobacterium HTCC2143		strain: HTCC2143	247633	ASM16907v1	GCF_000169075.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	393112	3925629	2006-12-15	3541	PRJNA13605	SAMN02436155
gamma proteobacterium BDW918		strain: BDW918	1168065	GamBDW1.0	GCF_000259575.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	122446	4307745	2012-04-26	3835	PRJNA156867	SAMN02470816
Dasania marina DSM 21967		strain: DSM 21967	1121374	ASM37348v1	GCF_000373485.1	RefSeq	GCF_000373485.1-RS_2025_03_28	Scaffold	676505	4104988	2013-04-23	3696	PRJNA169739	SAMN02440427
Spongiibacter tropicus DSM 19543		strain: DSM 19543	1123279	ASM42032v1	GCF_000420325.1	RefSeq	GCF_000420325.1-RS_2025_05_02	Scaffold	2168856	3947342	2013-07-09	3719	PRJNA185370	SAMN02440570
Neomelitea salexigens DSM 19753		strain: DSM 19753	1122224	ASM42234v1	GCF_000422345.1	RefSeq	GCF_000422345.1-RS_2025_04_07	Scaffold	265760	3435542	2013-07-11	3233	PRJNA188866	SAMN02440685
Spongiibacter sp. IMCC21906		strain: IMCC21906	1620392	ASM101080v1	GCF_001010805.1	RefSeq	GCF_001010805.1-RS_2024_08_13	Complete Genome	3468984	3481669	2015-05-20	3221	PRJNA276161	SAMN03372475
Zhongshania aliphaticivorans		strain: SM-2	1470434	ASM158625v1	GCF_001586255.1	RefSeq	GCF_001586255.1-RS_2025_03_03	Complete Genome	4204359	4204359	2016-03-10	3774	PRJNA306719	SAMN04361929
Oceanicoccus sagamiensis		strain: NBRC 107125	716816	ASM211710v1	GCF_002117105.1	RefSeq	GCF_002117105.1-RS_2025_03_28	Complete Genome	4472079	4472079	2017-05-02	4077	PRJNA355353	SAMN06075352
Spongiibacter tropicus		isolate: UBA850	454602	ASM229544v1	GCF_002295445.1	RefSeq	GCF_002295445.1-RS_2025_04_07	Scaffold	33431	3480006	2017-09-12	3375	PRJNA348753	SAMN06450329
Spongiibacter sp. UBA1325		isolate: UBA1325	1947543	ASM230687v1	GCF_002306875.1	RefSeq	GCF_002306875.1-RS_2025_04_07	Scaffold	167889	3585762	2017-09-15	3374	PRJNA348753	SAMN06453717
