rowname	logFC	AveExpr	t	P.Value	adj.P.Val	B	z.std	Gene.name	Tax	KEGG.ID	KEGGFUN	KEGGPATH	COG.ID	COGFUN	COGPATH	PFAM	direction
1	bd17_expression_19_15377-17047	2.49995532533987	8.79843331911493	4.59763534436893	0.000101245079736551	0.0750355149499529	1.30114445660646	3.88758849657472	RP-S1, rpsA	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K02945	small subunit ribosomal protein S1	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG0539	Ribosomal protein S1	Translation, ribosomal structure and biogenesis	PF00575 [S1 RNA binding domain]	ns
2	bd17_expression_225_11841-13238	3.01417345457053	9.90902200677519	4.65130615787314	0.000185685390506891	0.0750355149499529	0.899634500992541	3.73773515749548	ATPF1B, atpD	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales	K02112	F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]	Metabolism; Energy metabolism; Oxidative phosphorylation | Metabolism; Energy metabolism; Photosynthesis | Brite Hierarchies; Protein families: metabolism; Photosynthesis proteins	COG0055	F0F1-type ATP synthase, beta subunit	Energy production and conversion	PF00006 [ATP synthase alpha/beta family, nucleotide-binding domain];PF02874 [ATP synthase alpha/beta family, beta-barrel domain]	ns
3	bd17_expression_123_45518-49735	2.68423515636903	9.36449586881345	4.46834477033592	0.000212698609425285	0.0750355149499529	0.67167510769756	3.70343629839829	rpoC	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K03046	DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]	Genetic Information Processing; Transcription; RNA polymerase | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	COG0086	DNA-directed RNA polymerase, beta' subunit/160 kD subunit	Transcription	PF00623 [RNA polymerase Rpb1, domain 2];PF04983 [RNA polymerase Rpb1, domain 3];PF04997 [RNA polymerase Rpb1, domain 1];PF04998 [RNA polymerase Rpb1, domain 5];PF05000 [RNA polymerase Rpb1, domain 4]	ns
4	bd17_expression_123_41048-42271	3.39014405657431	10.6613341037418	4.59425088504202	0.000308694612705155	0.0750355149499529	0.730881085475545	3.60789226641305	tuf, TUFM	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria	K02358	elongation factor Tu	Brite Hierarchies; Protein families: genetic information processing; Translation factors | Brite Hierarchies; Protein families: genetic information processing; Mitochondrial biogenesis | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome	COG0050	GTPases - translation elongation factors	Translation, ribosomal structure and biogenesis	PF00009 [Elongation factor Tu GTP binding domain];PF03143 [Elongation factor Tu C-terminal domain];PF03144 [Elongation factor Tu domain 2]	ns
5	bd17_expression_123_54097-54480	2.24248727482351	8.73330422293852	4.12170852369944	0.000350633247429687	0.0750355149499529	0.221719227719401	3.57469735464299	RP-L7, MRPL12, rplL	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales;n_unclassified Cellvibrionales;s_Cellvibrionales bacterium	K02935	large subunit ribosomal protein L7/L12	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG0222	Ribosomal protein L7/L12	Translation, ribosomal structure and biogenesis	PF00542 [Ribosomal protein L7/L12 C-terminal domain];PF16320 [Ribosomal protein L7/L12 dimerisation domain]	ns
6	bd17_expression_240_7697-7996	3.00771789630345	9.27335508727444	3.92977737484655	0.000576489419101044	0.102018719861245	-0.200397212602304	3.44244108616613		k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales								ns
7	bd17_expression_123_40500-40811	2.39528184925484	8.4561061126437	3.84374782925955	0.000719609213401673	0.102018719861245	-0.411544430862391	3.38199703491816	RP-S10, MRPS10, rpsJ	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Cellvibrionales	K02946	small subunit ribosomal protein S10	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG0051	Ribosomal protein S10	Translation, ribosomal structure and biogenesis	PF00338 [Ribosomal protein S10p/S20e]	ns
8	bd17_expression_237_16446-17318	2.43167072828604	9.10337394289749	4.19075712520916	0.00076275678400931	0.102018719861245	0.094139366274927	3.36596755866043	sucD	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria	K01902	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Carbohydrate metabolism; C5-Branched dibasic acid metabolism | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes	COG0074	Succinyl-CoA synthetase, alpha subunit	Energy production and conversion	PF00549 [CoA-ligase];PF02629 [CoA binding domain];PF13607 [Succinyl-CoA ligase like flavodoxin domain]	ns
9	bd17_expression_123_37377-37715	2.37076049045892	8.69102450626721	3.70243759129448	0.00103391232221958	0.122920687197217	-0.71527498436683	3.28113230769338	RP-L22, MRPL22, rplV	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria	K02890	large subunit ribosomal protein L22	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG0091	Ribosomal protein L22	Translation, ribosomal structure and biogenesis	PF00237 [Ribosomal protein L22p/L17e]	ns
10	bd17_expression_123_45003-45377	2.5438267882087	8.50651535665875	3.61199203743516	0.0013020186849066	0.139315999285006	-0.917585325271167	3.21553444466882	RP-S12, MRPS12, rpsL	k_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria	K02950	small subunit ribosomal protein S12	Genetic Information Processing; Translation; Ribosome | Brite Hierarchies; Protein families: genetic information processing; Ribosome	COG0048	Ribosomal protein S12	Translation, ribosomal structure and biogenesis	PF00164 [Ribosomal protein S12/S23]	ns
